X1,X2,X3,X4,X5,Y1
6159,6573,6134,6144,5589,6055
6074,6357,6098,6655,5467,5586
5709,6153,6079,6583,5991,5816
5544,5793,6005,6468,5858,5962
5968,5840,5771,6424,5854,6010
5993,6129,5744,6241,5956,5974
5983,6059,6194,5986,5984,5899
6006,6029,6015,5936,5543,5759
6079,6068,5990,6327,,5467
5844,6023,6008,6380,5847,5655
5714,5763,6306,6374,5874,6007
6151,5640,5704,6342,6007,5975
5995,6160,5756,6262,5997,5930
6037,6195,6247,5897,6096,6179
6037,6269,6055,5785,5624,5982
5987,6150,6129,6328,5556,5541
5620,6080,6170,6258,6157,5675
5743,5915,6143,6314,6115,6019
6243,5846,5706,6604,6311,6202
6223,6248,5577,6629,6331,6068
6164,6265,5982,6266,6396,5983
6132,6268,5900,5931,5890,5959
6096,6300,5906,6255,5678,5603
5689,6228,5969,6151,5976,5464
5577,5808,6005,6214,6031,5876
6001,5850,5656,6225,6082,6081
5962,6301,5571,6071,5936,6383
5963,6199,6042,5754,5801,6450
6008,6251,6123,5613,5382,6232
5992,6025,6049,6074,5302,5972
5554,5960,6018,6260,5711,5708
5492,5623,6031,6360,5820,6107
5923,5577,5661,6253,5904,5952
5893,5972,5641,6128,5912,5954
5930,6121,6084,5757,5822,5879
6038,6161,6052,5608,5444,5753
6005,6148,6071,6106,5351,5524
5585,6091,6031,6198,5792,5389
5456,5666,5897,6180,5833,5912
5892,5609,5599,6284,5931,5873
5943,6076,5623,6136,5967,5725
6206,6150,5987,5803,5944,5696
5945,6123,5960,5703,5562,6068
5782,6128,5998,6060,5474,5484
5477,6062,6020,6070,5798,5359
5521,5705,5928,5986,5819,5927
5910,5514,5586,6094,5651,5692
6002,6028,5435,6003,5738,5596
5843,6167,5878,5690,5777,5524
5889,5960,5928,5611,5519,5405
5808,6042,5823,6099,5462,5285
5353,5948,6018,6093,5817,
5282,5566,5863,6198,5857,5600
5686,5530,5520,6184,5910,5653
5745,6075,5493,6076,5965,5588
5759,6133,5991,5690,5907,5584
5673,6097,5961,5548,5474,5606
5702,6133,6010,6088,5457,5355
5438,6077,6119,6133,5916,5280
5317,5764,5934,6269,5869,5680
5775,5875,5513,6011,5818,5782
5933,5984,5509,6071,5934,5773
6053,5986,5902,5722,5743,5661
6111,5989,5960,5574,5477,5495
5811,6000,5940,5946,5326,5218
5458,5830,5967,6035,5800,5340
5384,5467,5928,6155,5757,5543
5758,5397,5588,6063,5862,5528
5751,6070,5421,6078,5914,5571
5844,6132,5878,5558,5771,5623
5835,6119,5876,5435,5406,5536
5883,6108,5843,5940,5359,5172
5413,5994,5867,5989,5742,5254
5255,5764,5813,6016,5798,5635
5663,5420,5446,5988,5724,5587
5759,5842,5383,6072,5739,5529
5866,5901,5896,5734,5828,5856
5715,5850,5926,5507,5413,5594
5729,5861,5925,6033,5326,5167
5331,5811,5875,6049,5812,5192
5272,5535,5783,6081,5862,5509
,5523,5452,6193,5888,5552
5788,5866,5396,5976,6076,5627
5676,5920,5788,5581,5849,5578
5740,5849,5847,5734,5401,5664
5789,5975,5797,6067,5311,5337
5417,5873,5914,6009,5806,5318
5392,5570,5997,6224,5842,5731
5883,5432,5587,5943,5771,5998
5781,5995,5496,5909,5754,6020
5892,6134,6116,5563,5735,5587
5996,6020,6117,5633,5416,5610
5857,6087,6166,5950,5328,5142
5590,5956,6328,6023,5770,5051
5344,5570,6379,5969,5886,5508
5918,5671,5829,6177,5825,5540
5915,5408,5633,5874,5773,5671
5780,5783,5680,5554,5758,5618
5718,5836,5946,5486,5337,5568
5670,5836,6136,5847,5211,5261
5309,5956,6269,5859,5311,5112
5329,5703,6324,5877,5898,5255
5699,5484,5849,5882,5903,5712
6394,5938,5627,5892,5950,5728
5990,6016,6216,5608,5940,5745
5982,6027,6305,5586,5443,5819
5943,6127,6266,6002,5281,5335
5617,6091,6211,6030,5829,5252
5346,5786,6134,6025,5935,5826
5808,5711,5695,6010,5890,5724
6080,6123,5627,5905,5964,5759
6192,6066,6067,5597,5863,5623
6240,6060,6104,5476,5444,5568
6063,6040,6047,6087,5402,5330
5870,5942,6039,5968,5920,5267
5505,5563,5953,6129,5977,5789
5883,5572,5747,6235,5996,5717
5831,5936,5332,6139,6104,5842
5802,6029,5949,5830,6046,5929
5826,6197,5842,5622,5683,5880
5842,6215,5959,5885,5529,5779
5544,6348,6193,5981,6114,5572
5558,5751,6146,6093,6123,5991
6127,5753,5836,,6151,6118
5990,6358,6017,6212,6135,5938
6069,6087,6652,5784,6070,5940
5991,6111,6251,5656,5607,5980
6018,6134,6182,6344,5502,5914
5673,6073,6182,6431,6137,5509
5596,5752,6285,6174,6320,6056
6311,6014,5916,6274,6366,5868
6037,6803,5842,6288,6437,5833
5853,6970,6363,6019,6379,6188
6094,6939,6220,5936,6016,5832
6547,6386,6080,6537,5830,5615
5875,5987,5953,6710,6236,5632
5570,5657,5900,6741,6181,5756
6119,5553,5523,6932,6220,5774
6329,6020,5424,6890,6256,5869
6414,6140,5910,6570,6349,5995
6249,6299,5892,6491,5990,6175
6606,6432,6047,6377,5743,6026
6403,6425,6135,6154,6170,6191
6116,6066,6133,6276,6127,6876
6224,5793,5848,6281,6208,6885
6397,6161,5574,6151,6455,6449
6794,6210,5962,5867,6530,6281
6539,6539,6047,5788,6286,6249
6368,6655,6105,6261,6015,5973
5958,6170,6110,6324,6687,5876
5889,5809,6200,6605,6726,6531
6395,6145,5906,6802,6852,6710
6590,6704,5838,6574,7013,6651
6673,6780,6431,6198,6966,6589
6673,7309,6548,6027,6446,6560
6737,6824,6645,6543,6408,6048
6423,6756,6554,6551,6994,6251
6366,6714,6528,6670,7013,6890
6776,7125,6240,6790,6743,7208
6730,7203,6237,6978,6413,7525
6752,6945,6568,6657,6305,7218
6983,6529,6453,6441,5885,7330
7360,6282,6453,7085,5831,6915
7177,6238,6618,7224,6538,7041
6625,5949,6737,7070,6651,7556
7152,5870,6120,6999,6737,6994
7241,6483,5925,6838,6879,6561
7313,6614,6449,6082,7060,6613
7076,,6370,5802,6247,6644
7048,6727,6424,6326,5923,6017
6605,6929,6537,6354,6545,6112
6777,6573,6679,6568,6699,6595
7552,6410,6415,6798,6681,6687
6695,6737,6254,6797,6597,6914
6467,6894,6747,6553,6488,6991
6538,7061,6869,6298,6060,7229
6655,7269,7059,6540,6013,6946
6495,7477,7115,6619,6674,6773
6466,6831,6874,6981,6588,7206
6806,5924,6563,6757,6629,7349
6757,5920,6449,6512,6283,6809
5796,5289,6090,6177,5328,6392
5684,5458,5916,5601,5628,5735
6008,6031,6319,5761,6158,5549
5853,6160,6470,6079,5821,5764
5828,6043,6632,6397,5795,6042
6243,6182,6636,6566,5823,6533
6391,6319,6650,6821,5845,6468
